Class:,A12
M,C,P,P,M,E,CS ,LAB1 ,LAB1
T,M,P,C,C,E,CS ,LAB1 ,LAB1
W,CS ,P,M,M,E,C,LAB3 ,LAB3
TH,CS ,P,M,E,M,C,LAB3 ,LAB3
F,CS ,P,E,PT ,C,C,CS,CS
S,LIB ,P,M,CS ,E
Class:,B12
M,M,E,P,CS,C,C,LAB3,LAB3
T,P,M,CS,E,CS,M,LAB3,LAB3
W,C,M,CS,CS,P,E,E,C
TH,E,C,M,P,LIB,CS,PT,C
F,P,M,CS,M,GS,P,LAB1,LAB1
S,P,C,E,LAB1,LAB1
Class:,C12
M,P,B,M,LIB,C,B,E,PT
T,C,B,GS,P,M,E,C,M
W,P,B,E,C,M,P,LAB1,LAB1
TH,M,B,E,C,P,B,LAB,LAB
F,C,B,P,E,C,M,LAB2,LAB2
S,M,P,E,LAB2,LAB2
