,A12,B12,C12
M,"['C', 'P', 'P', 'M', 'E', 'CS ', 'LAB1 ', 'LAB1']","['M', 'E', 'P', 'CS', 'C', 'C', 'LAB3', 'LAB3']","['P', 'B', 'M', 'LIB', 'C', 'B', 'E', 'PT']"
T,"['M', 'P', 'C', 'C', 'E', 'CS ', 'LAB1 ', 'LAB1']","['P', 'M', 'CS', 'E', 'CS', 'M', 'LAB3', 'LAB3']","['C', 'B', 'GS', 'P', 'M', 'E', 'C', 'M']"
W,"['CS ', 'P', 'M', 'M', 'E', 'C', 'LAB3 ', 'LAB3']","['C', 'M', 'CS', 'CS', 'P', 'E', 'E', 'C']","['P', 'B', 'E', 'C', 'M', 'P', 'LAB1', 'LAB1']"
TH,"['CS ', 'P', 'M', 'E', 'M', 'C', 'LAB3 ', 'LAB3']","['E', 'C', 'M', 'P', 'LIB', 'CS', 'PT', 'C']","['M', 'B', 'E', 'C', 'P', 'B', 'LAB', 'LAB']"
F,"['CS ', 'P', 'E', 'PT ', 'C', 'C', 'CS']","['P', 'M', 'CS', 'M', 'GS', 'P', 'LAB1', 'LAB1']","['C', 'B', 'P', 'E', 'C', 'M', 'LAB2', 'LAB2']"
S,"['LIB ', 'P', 'M', 'CS ', 'E']","['P', 'C', 'E', 'LAB1', 'LAB1']","['M', 'P', 'E', 'LAB2', 'LAB2']"
